,ID,Category,ID Category,Asset ID,Asset Name,Purchase Date,Cost (Finance),Cost (GA & Supply Chain),PIC,Department,Site,ID Site,Brand,Model,Serial Number,Notes,Status,Price
488,FA436,Laptop and Komp,III,FA436/III/03,"Monitor Dahua 22""",10-Oct-25,"Rp926,660","Rp926,000",,HRGA & Legal,Deltamas 2,3,Dahua,,,,Active,
502,FA442,Elektronik,I,FA442/I/01,"PADBOT Reception Robot, Model P3, HILLS & HILLS LIMITED",17-Dec-24,"Rp43,703,287","Rp950,000",Bilkis Ismail,PITD,BSD,1,,,,,Active,
503,FA443,Elektronik,I,FA443/I/01,"PADBOT Cleaning Robot, Model C3, HILLS & HILLS LIMITED",17-Dec-24,"Rp87,422,074","Rp4,850,000",Bilkis Ismail,PITD,BSD,1,,,,,Active,
504,FA444,Elektronik,I,FA444/I/02,"Robot arm with Welding function, 6-axis Robot BRTIRUS2110A + welder MIG350, HILLS LIMITED",17-Dec-24,"Rp107,679,515","Rp5,751,660",Silmi,Engineering,Deltamas 1,2,Lenovo,,,,Active,
505,FA445,Elektronik,I,FA445/I/02,"6-axis Robot BRTIRUS2110A, with Max. loading capacity 10kgs, HILLS LIMITED",17-Dec-24,"Rp65,397,725","Rp3,178,600",Rino,Engineering,Deltamas 1,2,Gea,,,,Active,
506,FA446,Machine and Tooling,V,FA446/V/02,"Holder Treadmill dia 16, Pitch 3",08-Jan-25,"Rp250,000",,,Production,Deltamas 1,2,,,,,,
507,FA447,Machine and Tooling,V,FA447/V/02,"Holder Treadmill dia 20, Pitch 4",08-Jan-25,"Rp280,000",,,Production,Deltamas 1,2,,,,,,
508,FA448,Machine and Tooling,V,FA448/V/02,Pompa Stempet 500cc,03-Feb-25,"Rp210,000",,,Production,Deltamas 1,2,,,,,,
509,FA449,Machine and Tooling,V,FA449/V/02,Arbor (BT50-FMB22-250),13-Jun-25,"Rp5,200,000",,,Production,Deltamas 1,2,,,,,,
510,FA450,Machine and Tooling,V,FA450/V/02,Arbor (BT50-FMB60-250),13-Jun-25,"Rp7,000,000",,,Production,Deltamas 1,2,,,,,,
511,FA451,Machine and Tooling,V,FA451/V/02,Facemill (APMT16-22-50),13-Jun-25,"Rp750,000",,,Production,Deltamas 1,2,,,,,,
512,FA452,Machine and Tooling,V,FA452/V/02,Facemill (SEKN15-60-200),13-Jun-25,"Rp5,050,000",,,Production,Deltamas 1,2,,,,,,
513,FA453,Machine and Tooling,V,FA453/V/02,Tabung Gas ELPIJI 12Kg + Isi,19-May-25,"Rp500,000",,,Production,Deltamas 1,2,,,,,,
514,FA454,Machine and Tooling,V,FA454/V/02,Alat Strapping Band,23-May-25,"Rp275,000",,,Production,Deltamas 1,2,,,,,,
515,FA455,Machine and Tooling,V,FA455/V/02,"Mesin Bench Grinder 5"" (TDS125-41-5105) ""WIPRO""",05-Jun-25,"Rp690,000",,,Production,Deltamas 1,2,,,,,,
516,FA456,Machine and Tooling,V,FA456/V/02,"Permanent Magnet Lifter PML-C 3 Ton ""TOYO""",12-Jun-25,"Rp7,905,405",,,Production,Deltamas 1,2,,,,,,
517,FA457,Machine and Tooling,V,FA457/V/02,Back Borring Head EWN41-74CKB4,12-Jun-25,"Rp1,250,000",,,Production,Deltamas 1,2,,,,,,
518,FA458,Machine and Tooling,V,FA458/V/02,Arbor Boring BT50-LBK6-170,22-Aug-25,"Rp5,042,000",,,Production,Deltamas 1,2,,,,,,
519,FA459,Machine and Tooling,V,FA459/V/02,Adaptor Boring LBK6-6-120,22-Aug-25,"Rp1,636,000",,,Production,Deltamas 1,2,,,,,,
520,FA460,Machine and Tooling,V,FA460/V/02,Adaptor Boring LBK6-6-120,22-Aug-25,"Rp1,636,000",,,Production,Deltamas 1,2,,,,,,
521,FA461,Machine and Tooling,V,FA461/V/02,Adaptor Boring LBK6-6-120,22-Aug-25,"Rp1,636,000",,,Production,Deltamas 1,2,,,,,,
522,FA462,Machine and Tooling,V,FA462/V/02,Adaptor Boring LBK6-6-120,22-Aug-25,"Rp1,636,000",,,Production,Deltamas 1,2,,,,,,
523,FA463,Machine and Tooling,V,FA463/V/02,Adaptor Boring LBK6-6-120,22-Aug-25,"Rp1,636,000",,,Production,Deltamas 1,2,,,,,,
524,FA464,Machine and Tooling,V,FA464/V/02,Arbor BT50 ER32 150,17-Oct-25,"Rp3,278,000",,,Production,Deltamas 1,2,,,,,,
525,FA465,Machine and Tooling,V,FA465/V/02,Arbor BT50 ER32 300,17-Oct-25,"Rp5,590,000",,,Production,Deltamas 1,2,,,,,,
526,FA466,Machine and Tooling,V,FA466/V/01,APAR ABC Powder 6kg,11-Jul-25,"Rp976,250",,Herfian,Engineering,BSD,1,Tonata,,,,Active,
527,FA467,Machine and Tooling,V,FA467/V/02,Holder APMT 32-300,21-Aug-25,"Rp1,350,000",,,Production,Deltamas 1,2,,,,,Active,
528,FA468,Machine and Tooling,V,FA468/V/02,Arbor BT50 FBM 22-48-350,21-Aug-25,"Rp3,100,000",,,Production,Deltamas 1,2,,,,,Active,
529,FA469,Machine and Tooling,V,FA469/V/02,Arbor BT50 er 20-150,21-Aug-25,"Rp1,550,000",,,Production,Deltamas 1,2,,,,,Active,
530,FA470,Machine and Tooling,V,FA470/V/02,Facemill 22 Cutter 63 (Insert SEKT12),21-Aug-25,"Rp583,564",,,Production,Deltamas 1,2,,,,,Active,
531,FA471,Machine and Tooling,V,FA471/V/02,Holder APMT 25-150,21-Aug-25,"Rp324,365",,,Production,Deltamas 1,2,,,,,Active,
532,FA472,Machine and Tooling,V,FA472/V/02,BT Device BT50 (Alat Pembuka Kunci Arbor BT50),21-Aug-25,"Rp952,772",,,Production,Deltamas 1,2,,,,,Active,
533,FA473,Machine and Tooling,V,FA473/V/02,"Caliper Manual 200mm ""MITUTOYO""",22-Aug-25,"Rp930,000",,,Production,Deltamas 1,2,,,,,,
534,FA474,Machine and Tooling,V,FA474/V/02,"Caliper Digital 300mm ""MITUTOYO""",22-Aug-25,"Rp6,906,000",,,Production,Deltamas 1,2,,,,,,
535,FA475,Machine and Tooling,V,FA475/V/02,"Dial Test Indicator 513-404-10E ""MITUTOYO""",22-Aug-25,"Rp1,283,000",,,Production,Deltamas 1,2,,,,,,
536,FA476,Machine and Tooling,V,FA476/V/02,Holder Ballnose 20 x 200 R10,04-Sep-25,"Rp577,020",,,Production,Deltamas 1,2,,,,,Active,
537,FA477,Machine and Tooling,V,FA477/V/02,Holder Ballnose 16 x 150 R8,04-Sep-25,"Rp467,545",,,Production,Deltamas 1,2,,,,,Active,
538,FA478,Machine and Tooling,V,FA478/V/02,Holder EXM-6063R-HF-22,08-Sep-25,"Rp4,641,000",,,Production,Deltamas 1,2,,,,,Active,
539,FA479,Machine and Tooling,V,FA479/V/02,"Mesin Gerinda 4"" ""BOSCH""",23-Sep-25,"Rp450,000",,,Production,Deltamas 1,2,,,,,Active,
540,FA480,Machine and Tooling,V,FA480/V/02,"Kabel Roll 25M ""KRISBOW""",23-Sep-25,"Rp900,000",,,Production,Deltamas 1,2,,,,,Active,
541,FA481,Machine and Tooling,V,FA481/V/02,"Holder Ballnose ASP-20-250-M10 Carbaide ""NICHE""",13-Oct-25,"Rp4,850,000",,,Production,Deltamas 1,2,,,,,Active,
542,FA482,Machine and Tooling,V,FA482/V/02,"Head Holder Ballnose 20 ABF-20-M10 ""NICHE""",13-Oct-25,"Rp950,000",,,Production,Deltamas 1,2,,,,,Active,
543,FA483,Machine and Tooling,V,FA483/V/02,"Holder Ballnose ASP-20-250-M10 Carbaide ""NICHE""",20-Oct-25,"Rp4,850,000",,,Production,Deltamas 1,2,,,,,Active,
544,FA484,Machine and Tooling,V,FA484/V/02,ARBOR BT40 | LOCK SEAT,07-Nov-25,"Rp662,796",,,Production,Deltamas 1,2,,,,,,
545,FA485,Machine and Tooling,V,FA485/V/02,ZERO SETTER | 50mm,07-Nov-25,"Rp1,312,895",,,Production,Deltamas 1,2,,,,,,
546,FA486,Machine and Tooling,V,FA486/V/02,ZERO SETTER | 50mm,07-Nov-25,"Rp1,312,895",,,Production,Deltamas 1,2,,,,,,
547,FA487,Machine and Tooling,V,FA487/V/02,BORING HEAD | BT40 NBH2084,07-Nov-25,"Rp3,760,864",,,Production,Deltamas 1,2,,,,,,
548,FA488,Machine and Tooling,V,FA488/V/02,FACEMILL  BAP | 400R 50-22-4T APMT16,07-Nov-25,"Rp479,722",,,Production,Deltamas 1,2,,,,,,
549,FA489,Machine and Tooling,V,FA489/V/02,FACEMILL  BAP | 400R 63-22-4T APMT16,07-Nov-25,"Rp567,306",,,Production,Deltamas 1,2,,,,,,
550,FA490,Machine and Tooling,V,FA490/V/02,Arbor BT40-FMB22-100,Proses Finance,"Rp850,000",,,Production,Deltamas 1,2,,,,,,
551,FA491,Machine and Tooling,V,FA491/V/02,Arbor BT40-FMB22-200,Proses Finance,"Rp1,850,000",,,Production,Deltamas 1,2,,,,,,
552,FA492,Machine and Tooling,V,FA492/V/02,Arbor BT40-ER20-150,Proses Finance,"Rp780,000",,,Production,Deltamas 1,2,,,,,,
553,FA493,Machine and Tooling,V,FA493/V/02,Arbor BT40-ER20-150,Proses Finance,"Rp780,000",,,Production,Deltamas 1,2,,,,,,
554,FA494,Machine and Tooling,V,FA494/V/02,Arbor BT40-ER20-150,Proses Finance,"Rp780,000",,,Production,Deltamas 1,2,,,,,,
555,FA495,Machine and Tooling,V,FA495/V/02,Arbor BT40-ER32-150,Proses Finance,"Rp880,000",,,Production,Deltamas 1,2,,,,,,
556,FA496,Machine and Tooling,V,FA496/V/02,Arbor BT40-ER32-150,Proses Finance,"Rp880,000",,,Production,Deltamas 1,2,,,,,,
557,FA497,Machine and Tooling,V,FA497/V/02,Arbor BT40-SC32-105,Proses Finance,"Rp1,800,000",,,Production,Deltamas 1,2,,,,,,
558,FA498,Machine and Tooling,V,FA498/V/02,Arbor BT40-SC32-105,Proses Finance,"Rp1,800,000",,,Production,Deltamas 1,2,,,,,,
559,FA499,Machine and Tooling,V,FA499/V/02,Collet ER20 (isi 12 Pcs),Proses Finance,"Rp1,620,000",,,Production,Deltamas 1,2,,,,,,
560,FA500,Machine and Tooling,V,FA500/V/02,Collet ER32 (Isi 18 Pcs),Proses Finance,"Rp2,610,000",,,Production,Deltamas 1,2,,,,,,
561,FA501,Machine and Tooling,V,FA501/V/02,Collet SC32 (Isi 7 Pcs),Proses Finance,"Rp1,470,000",,,Production,Deltamas 1,2,,,,,,
