,ID,Category,ID Category,Asset ID,Asset Name,Purchase Date,Cost (Finance),Cost (GA & Supply Chain),PIC,Department,Site,ID Site,Brand,Model,Serial Number,Notes,Status,Price
397,FA353,Elektronik,I,FA353/I/02,Printer Brother MFC-J3540DW A3 Inkjet AIO WIFI Duplex Garansi Resmi,30-Apr-24,"Rp6,780,000",,,Engineering,Deltamas 1,2,Brother,,,,Active,
398,FA354,Elektronik,I,FA354/I/01,Printer Canon PIXMA G4770 All in One ADF WiFi FAX pengganti G4010,30-Apr-24,"Rp3,975,000",,Daniella,Finance & Accounting,BSD,1,Canon,,,,Active,
399,FA355,Furniture,II,FA355/II/02,Lemari Pajangan Kaca 2 Pintu,30-Apr-24,"Rp1,600,000",,,HRGA & Legal,Deltamas 1,2,,,,,Active,
400,FA356,Furniture,II,FA356/II/02,Lemari Pajangan Kaca 2 Pintu,30-Apr-24,"Rp1,600,000",,,HRGA & Legal,Deltamas 1,2,,,,,Active,
401,FA357,Machine and Tooling,V,FA357/V/02,Mitutoyo Caliper 300 MM China,30-Apr-24,"Rp1,328,700",,,QA/QC,Deltamas 1,2,Mitutoyo,,,,Active,
402,FA358,Elektronik,I,FA358/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
403,FA359,Elektronik,I,FA359/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
404,FA360,Elektronik,I,FA360/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
405,FA361,Elektronik,I,FA361/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
406,FA362,Elektronik,I,FA362/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
407,FA363,Elektronik,I,FA363/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
408,FA364,Elektronik,I,FA364/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
409,FA365,Elektronik,I,FA365/I/01,CCTV Ezviz C6N 2 MP Black Smart Home Wifi IP Camera CCTV Indoor 1080p,08-May-24,"Rp642,100",,Dimas,HRGA & Legal,BSD,1,Ezviz,,,,Active,
